scope,package,version,license
"frontend","@babel/plugin-transform-optional-catch-binding","7.27.1","MIT"
"frontend","@babel/plugin-transform-optional-chaining","7.27.1","MIT"
"frontend","@babel/plugin-transform-parameters","7.27.7","MIT"
"frontend","@babel/plugin-transform-private-methods","7.27.1","MIT"
"frontend","@babel/plugin-transform-private-property-in-object","7.27.1","MIT"
"frontend","@babel/plugin-transform-property-literals","7.27.1","MIT"
"frontend","@babel/plugin-transform-react-constant-elements","7.27.1","MIT"
"frontend","@babel/plugin-transform-react-display-name","7.28.0","MIT"
"frontend","@babel/plugin-transform-react-jsx","7.27.1","MIT"
"frontend","@babel/plugin-transform-react-jsx-development","7.27.1","MIT"
"frontend","@babel/plugin-transform-react-pure-annotations","7.27.1","MIT"
"frontend","@babel/plugin-transform-regenerator","7.28.1","MIT"
"frontend","@babel/plugin-transform-regexp-modifiers","7.27.1","MIT"
"frontend","@babel/plugin-transform-reserved-words","7.27.1","MIT"
"frontend","@babel/plugin-transform-runtime","7.28.0","MIT"
"frontend","@babel/plugin-transform-runtime/node_modules/semver","6.3.1","ISC"
"frontend","@babel/plugin-transform-shorthand-properties","7.27.1","MIT"
"frontend","@babel/plugin-transform-spread","7.27.1","MIT"
"frontend","@babel/plugin-transform-sticky-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-template-literals","7.27.1","MIT"
"frontend","@babel/plugin-transform-typeof-symbol","7.27.1","MIT"
"frontend","@babel/plugin-transform-typescript","7.28.0","MIT"
"frontend","@babel/plugin-transform-unicode-escapes","7.27.1","MIT"
"frontend","@babel/plugin-transform-unicode-property-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-unicode-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-unicode-sets-regex","7.27.1","MIT"
"frontend","@babel/preset-env","7.28.0","MIT"
"frontend","@babel/preset-env/node_modules/semver","6.3.1","ISC"
"frontend","@babel/preset-modules","0.1.6-no-external-plugins","MIT"
"frontend","@babel/preset-react","7.27.1","MIT"
"frontend","@babel/preset-typescript","7.27.1","MIT"
"frontend","@babel/runtime","7.27.6","MIT"
"frontend","@babel/template","7.27.2","MIT"
"frontend","@babel/traverse","7.28.0","MIT"
"frontend","@babel/types","7.28.1","MIT"
"frontend","@bcoe/v8-coverage","0.2.3","MIT"
"frontend","@csstools/normalize.css","12.1.1","CC0-1.0"
"frontend","@csstools/postcss-cascade-layers","1.1.1","CC0-1.0"
"frontend","@csstools/postcss-color-function","1.1.1","CC0-1.0"
"frontend","@csstools/postcss-font-format-keywords","1.0.1","CC0-1.0"
"frontend","@csstools/postcss-hwb-function","1.0.2","CC0-1.0"
"frontend","@csstools/postcss-ic-unit","1.0.1","CC0-1.0"
"frontend","@csstools/postcss-is-pseudo-class","2.0.7","CC0-1.0"
"frontend","@csstools/postcss-nested-calc","1.0.0","CC0-1.0"
"frontend","@csstools/postcss-normalize-display-values","1.0.1","CC0-1.0"
"frontend","@csstools/postcss-oklab-function","1.1.1","CC0-1.0"
"frontend","@csstools/postcss-progressive-custom-properties","1.3.0","CC0-1.0"
"frontend","@csstools/postcss-stepped-value-functions","1.0.1","CC0-1.0"
"frontend","@csstools/postcss-text-decoration-shorthand","1.0.0","CC0-1.0"
"frontend","@csstools/postcss-trigonometric-functions","1.0.2","CC0-1.0"
"frontend","@csstools/postcss-unset-value","1.0.2","CC0-1.0"
"frontend","@csstools/selector-specificity","2.2.0","CC0-1.0"
"frontend","@eslint-community/eslint-utils","4.7.0","MIT"
"frontend","@eslint-community/regexpp","4.12.1","MIT"
"frontend","@eslint/eslintrc","2.1.4","MIT"
"frontend","@eslint/eslintrc/node_modules/argparse","2.0.1","Python-2.0"
"frontend","@eslint/eslintrc/node_modules/js-yaml","4.1.0","MIT"
"frontend","@eslint/js","8.57.1","MIT"
"frontend","@humanwhocodes/config-array","0.13.0","Apache-2.0"
"frontend","@humanwhocodes/module-importer","1.0.1","Apache-2.0"
"frontend","@humanwhocodes/object-schema","2.0.3","BSD-3-Clause"
"frontend","@isaacs/cliui","8.0.2","ISC"
"frontend","@isaacs/cliui/node_modules/ansi-regex","6.1.0","MIT"
"frontend","@isaacs/cliui/node_modules/ansi-styles","6.2.1","MIT"
"frontend","@isaacs/cliui/node_modules/string-width","5.1.2","MIT"
"frontend","@isaacs/cliui/node_modules/strip-ansi","7.1.0","MIT"
"frontend","@isaacs/cliui/node_modules/wrap-ansi","8.1.0","MIT"
"frontend","@istanbuljs/load-nyc-config","1.1.0","ISC"
"frontend","@istanbuljs/load-nyc-config/node_modules/camelcase","5.3.1","MIT"
"frontend","@istanbuljs/schema","0.1.3","MIT"
"frontend","@jest/console","27.5.1","MIT"
"frontend","@jest/console/node_modules/@jest/types","27.5.1","MIT"
"frontend","@jest/console/node_modules/@types/yargs","16.0.9","MIT"
"frontend","@jest/console/node_modules/ci-info","3.9.0","MIT"
"frontend","@jest/console/node_modules/jest-message-util","27.5.1","MIT"
"frontend","@jest/console/node_modules/jest-util","27.5.1","MIT"
"frontend","@jest/console/node_modules/picomatch","2.3.1","MIT"
"frontend","@jest/core","27.5.1","MIT"
"frontend","@jest/core/node_modules/@jest/types","27.5.1","MIT"
"frontend","@jest/core/node_modules/@types/yargs","16.0.9","MIT"
"frontend","@jest/core/node_modules/ci-info","3.9.0","MIT"
"frontend","@jest/core/node_modules/jest-message-util","27.5.1","MIT"
"frontend","@jest/core/node_modules/jest-regex-util","27.5.1","MIT"
"frontend","@jest/core/node_modules/jest-util","27.5.1","MIT"
"frontend","@jest/core/node_modules/picomatch","2.3.1","MIT"
"frontend","@jest/diff-sequences","30.0.1","MIT"
"frontend","@jest/environment","27.5.1","MIT"
"frontend","@jest/environment/node_modules/@jest/types","27.5.1","MIT"
"frontend","@jest/environment/node_modules/@types/yargs","16.0.9","MIT"
"frontend","@jest/environment/node_modules/jest-mock","27.5.1","MIT"
"frontend","@jest/expect-utils","30.0.4","MIT"
"frontend","@jest/fake-timers","27.5.1","MIT"
